ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
nyan1307-2-1-1,,nyan1307-2,1,emwe,emwe,[],,['chan2019'],,False,False,,2
nyan1307-2-2-1,,nyan1307-2,2,eibiri,eibiri,[],,['chan2019'],,False,False,,2
nyan1307-2-3-1,,nyan1307-2,3,eishatu,eishatu,[],,['chan2019'],,False,False,,2
nyan1307-2-4-1,,nyan1307-2,4,eina,eina,[],,['chan2019'],,False,False,,2
nyan1307-2-5-1,,nyan1307-2,5,etaano,etaano,[],,['chan2019'],,False,False,,2
nyan1307-2-6-1,,nyan1307-2,6,mukaaɡa,mukaaɡa,[],,['chan2019'],,False,False,,2
nyan1307-2-7-1,,nyan1307-2,7,mushanju,mushanju,[],,['chan2019'],,False,False,,2
nyan1307-2-8-1,,nyan1307-2,8,munaana,munaana,[],,['chan2019'],,False,False,,2
nyan1307-2-9-1,,nyan1307-2,9,mwenda,mwenda,[],,['chan2019'],,False,False,,2
nyan1307-2-10-1,,nyan1307-2,10,eikumi,eikumi,[],,['chan2019'],,False,False,,2
nyan1307-2-11-1,,nyan1307-2,11,ikumi n'emwe,ikumi n'emwe,[],,['chan2019'],,False,False,,2
nyan1307-2-12-1,,nyan1307-2,12,ikumi n'eibiri,ikumi n'eibiri,[],,['chan2019'],,False,False,,2
nyan1307-2-13-1,,nyan1307-2,13,ikumi n'eishatu,ikumi n'eishatu,[],,['chan2019'],,False,False,,2
nyan1307-2-14-1,,nyan1307-2,14,ikumi n'eina,ikumi n'eina,[],,['chan2019'],,False,False,,2
nyan1307-2-15-1,,nyan1307-2,15,ikumi n'eitaano,ikumi n'eitaano,[],,['chan2019'],,False,False,,2
nyan1307-2-16-1,,nyan1307-2,16,ikumi na mukaaɡa,ikumi na mukaaɡa,[],,['chan2019'],,False,False,,2
nyan1307-2-17-1,,nyan1307-2,17,ikumi na mushanju,ikumi na mushanju,[],,['chan2019'],,False,False,,2
nyan1307-2-18-1,,nyan1307-2,18,ikumi na munaana,ikumi na munaana,[],,['chan2019'],,False,False,,2
nyan1307-2-19-1,,nyan1307-2,19,ikumi na mwenda,ikumi na mwenda,[],,['chan2019'],,False,False,,2
nyan1307-2-20-1,,nyan1307-2,20,(makumi) abiri,(makumi) abiri,[],,['chan2019'],,False,False,,2
nyan1307-2-21-1,,nyan1307-2,21,abiri n'ewe,abiri n'ewe,[],,['chan2019'],,False,False,,2
nyan1307-2-22-1,,nyan1307-2,22,abiri n'eibiri,abiri n'eibiri,[],,['chan2019'],,False,False,,2
nyan1307-2-23-1,,nyan1307-2,23,abiri n'eishatu,abiri n'eishatu,[],,['chan2019'],,False,False,,2
nyan1307-2-24-1,,nyan1307-2,24,abiri n'eina,abiri n'eina,[],,['chan2019'],,False,False,,2
nyan1307-2-25-1,,nyan1307-2,25,abiri n'etaano,abiri n'etaano,[],,['chan2019'],,False,False,,2
nyan1307-2-26-1,,nyan1307-2,26,abiri na mukaaɡa,abiri na mukaaɡa,[],,['chan2019'],,False,False,,2
nyan1307-2-27-1,,nyan1307-2,27,abiri na mushanju,abiri na mushanju,[],,['chan2019'],,False,False,,2
nyan1307-2-28-1,,nyan1307-2,28,abiri na munaana,abiri na munaana,[],,['chan2019'],,False,False,,2
nyan1307-2-29-1,,nyan1307-2,29,abiri na mwenda,abiri na mwenda,[],,['chan2019'],,False,False,,2
nyan1307-2-30-1,,nyan1307-2,30,ashatu,ashatu,[],,['chan2019'],,False,False,,2
nyan1307-2-40-1,,nyan1307-2,40,ana,ana,[],,['chan2019'],,False,False,,2
nyan1307-2-50-1,,nyan1307-2,50,ataano,ataano,[],,['chan2019'],,False,False,,2
nyan1307-2-60-1,,nyan1307-2,60,n̩kaaɡa,n̩kaaɡa,[],,['chan2019'],,False,False,,2
nyan1307-2-70-1,,nyan1307-2,70,nshanju,nshanju,[],,['chan2019'],,False,False,,2
nyan1307-2-80-1,,nyan1307-2,80,kinaana,kinaana,[],,['chan2019'],,False,False,,2
nyan1307-2-90-1,,nyan1307-2,90,kyenda,kyenda,[],,['chan2019'],,False,False,,2
nyan1307-2-100-1,,nyan1307-2,100,kikumi,kikumi,[],,['chan2019'],,False,False,,2
nyan1307-2-200-1,,nyan1307-2,200,ikumi bibir,ikumi bibir,[],,['chan2019'],,False,False,,2
nyan1307-2-1000-1,,nyan1307-2,1000,rukumi,rukumi,[],,['chan2019'],,False,False,,2
nyan1307-2-2000-1,,nyan1307-2,2000,enkumi ibiri,enkumi ibiri,[],,['chan2019'],,False,False,,2
