ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
omag1248-1-1-1,,omag1248-1,1,'wipi,'wipi,[],,['chan2019'],,False,False,,1
omag1248-1-2-1,,omag1248-1,2,mu'kwikia,mu'kwikia,[],,['chan2019'],,False,False,,1
omag1248-1-3-1,,omag1248-1,3,musa'pɾɨka,musa'pɾɨka,[],,['chan2019'],,False,False,,1
omag1248-1-4-1,,omag1248-1,4,ɪɾu'aka,ɪɾu'aka,[],,['chan2019'],,False,False,,1
omag1248-1-5-1,,omag1248-1,5,'pitʃka,'pitʃka,[],( < Quechua ),['chan2019'],,True,False,,1
omag1248-1-6-1,,omag1248-1,6,'sokta,'sokta,[],,['chan2019'],,False,False,,1
omag1248-1-7-1,,omag1248-1,7,'kantʃis,'kantʃis,[],,['chan2019'],,False,False,,1
omag1248-1-8-1,,omag1248-1,8,'pusa,'pusa,[],,['chan2019'],,False,False,,1
omag1248-1-9-1,,omag1248-1,9,'iskun,'iskun,[],,['chan2019'],,False,False,,1
omag1248-1-10-1,,omag1248-1,10,'tʃuŋɡa,'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-11-1,,omag1248-1,11,'tʃuŋɡa 'wipi,'tʃuŋɡa 'wipi,[],,['chan2019'],,False,False,,1
omag1248-1-12-1,,omag1248-1,12,'tʃuŋɡa mu'kwikia,'tʃuŋɡa mu'kwikia,[],,['chan2019'],,False,False,,1
omag1248-1-13-1,,omag1248-1,13,'tʃuŋɡa musa'pɾɨka,'tʃuŋɡa musa'pɾɨka,[],,['chan2019'],,False,False,,1
omag1248-1-14-1,,omag1248-1,14,'tʃuŋɡa iɾu'aka,'tʃuŋɡa iɾu'aka,[],,['chan2019'],,False,False,,1
omag1248-1-15-1,,omag1248-1,15,'tʃuŋɡa 'pitʃka,'tʃuŋɡa 'pitʃka,[],,['chan2019'],,False,False,,1
omag1248-1-16-1,,omag1248-1,16,'tʃuŋɡa 'sokta,'tʃuŋɡa 'sokta,[],,['chan2019'],,False,False,,1
omag1248-1-17-1,,omag1248-1,17,'tʃuŋɡa 'kantʃis,'tʃuŋɡa 'kantʃis,[],,['chan2019'],,False,False,,1
omag1248-1-18-1,,omag1248-1,18,'tʃuŋɡa 'pusa,'tʃuŋɡa 'pusa,[],,['chan2019'],,False,False,,1
omag1248-1-19-1,,omag1248-1,19,'tʃuŋɡa 'iskun,'tʃuŋɡa 'iskun,[],,['chan2019'],,False,False,,1
omag1248-1-20-1,,omag1248-1,20,mu'kwikia 'tʃuŋɡa,mu'kwikia 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-21-1,,omag1248-1,21,mu'kwikia 'tʃuŋɡa 'wipi,mu'kwikia 'tʃuŋɡa 'wipi,[],,['chan2019'],,False,False,,1
omag1248-1-22-1,,omag1248-1,22,mu'kwikia 'tʃuŋɡa mu'kwikia,mu'kwikia 'tʃuŋɡa mu'kwikia,[],,['chan2019'],,False,False,,1
omag1248-1-23-1,,omag1248-1,23,mu'kwikia 'tʃuŋɡa musa'pɾɨka,mu'kwikia 'tʃuŋɡa musa'pɾɨka,[],,['chan2019'],,False,False,,1
omag1248-1-24-1,,omag1248-1,24,mu'kwikia 'tʃuŋɡa ɪɾu'aka,mu'kwikia 'tʃuŋɡa ɪɾu'aka,[],,['chan2019'],,False,False,,1
omag1248-1-25-1,,omag1248-1,25,mu'kwikia 'tʃuŋɡa 'pitʃka,mu'kwikia 'tʃuŋɡa 'pitʃka,[],,['chan2019'],,False,False,,1
omag1248-1-26-1,,omag1248-1,26,mu'kwikia 'tʃuŋɡa 'sokta,mu'kwikia 'tʃuŋɡa 'sokta,[],,['chan2019'],,False,False,,1
omag1248-1-27-1,,omag1248-1,27,mu'kwikia 'tʃuŋɡa 'kantʃis,mu'kwikia 'tʃuŋɡa 'kantʃis,[],,['chan2019'],,False,False,,1
omag1248-1-28-1,,omag1248-1,28,mu'kwikia 'tʃuŋɡa 'pusa,mu'kwikia 'tʃuŋɡa 'pusa,[],,['chan2019'],,False,False,,1
omag1248-1-29-1,,omag1248-1,29,mu'kwikia 'tʃuŋɡa 'iskun,mu'kwikia 'tʃuŋɡa 'iskun,[],,['chan2019'],,False,False,,1
omag1248-1-30-1,,omag1248-1,30,musa'pɾɨka 'tʃuŋɡa,musa'pɾɨka 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-40-1,,omag1248-1,40,ɪɾu'aka 'tʃuŋɡa,ɪɾu'aka 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-50-1,,omag1248-1,50,'pitʃka 'tʃuŋɡa,'pitʃka 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-60-1,,omag1248-1,60,'sokta 'tʃuŋɡa,'sokta 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-70-1,,omag1248-1,70,'kantʃis 'tʃuŋɡa,'kantʃis 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-80-1,,omag1248-1,80,'pusa 'tʃuŋɡa,'pusa 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-90-1,,omag1248-1,90,'iskun 'tʃuŋɡa,'iskun 'tʃuŋɡa,[],,['chan2019'],,False,False,,1
omag1248-1-100-1,,omag1248-1,100,'patʃak,'patʃak,[],,['chan2019'],,False,False,,1
omag1248-1-200-1,,omag1248-1,200,mu'kwikia 'patʃak,mu'kwikia 'patʃak,[],,['chan2019'],,False,False,,1
omag1248-1-1000-1,,omag1248-1,1000,wa'ɾaŋka,wa'ɾaŋka,[],,['chan2019'],,False,False,,1
omag1248-1-2000-1,,omag1248-1,2000,mu'kwikia wa'ɾaŋka,mu'kwikia wa'ɾaŋka,[],,['chan2019'],,False,False,,1
