ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
oroh1237-1-1-1,,oroh1237-1,1,eta,eta,[],,['chan2019'],,False,False,,1
oroh1237-1-2-1,,oroh1237-1,2,rua,rua,[],,['chan2019'],,False,False,,1
oroh1237-1-3-1,,oroh1237-1,3,oru,oru,[],,['chan2019'],,False,False,,1
oroh1237-1-4-1,,oroh1237-1,4,hai,hai,[],,['chan2019'],,False,False,,1
oroh1237-1-5-1,,oroh1237-1,5,nima,nima,[],,['chan2019'],,False,False,,1
oroh1237-1-6-1,,oroh1237-1,6,ono,ono,[],,['chan2019'],,False,False,,1
oroh1237-1-7-1,,oroh1237-1,7,piu,piu,[],,['chan2019'],,False,False,,1
oroh1237-1-8-1,,oroh1237-1,8,waru,waru,[],,['chan2019'],,False,False,,1
oroh1237-1-9-1,,oroh1237-1,9,siva,siva,[],,['chan2019'],,False,False,,1
oroh1237-1-10-1,,oroh1237-1,10,tanahuru,tanahuru,[],,['chan2019'],,False,False,,1
oroh1237-1-100-1,,oroh1237-1,100,taʔai tanarau,taʔai tanarau,[],,['chan2019'],,False,False,,1
oroh1237-1-1000-1,,oroh1237-1,1000,raunahaɣarɔ,raunahaɣarɔ,[],,['chan2019'],,False,False,,1
