ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
qash1240-1-1-1,,qash1240-1,1,bi:ɹ,bi:ɹ,[],,['chan2019'],,False,False,,1
qash1240-1-2-1,,qash1240-1,2,ɪˀkkʰe,ɪˀkkʰe,[],,['chan2019'],,False,False,,1
qash1240-1-3-1,,qash1240-1,3,ʏtʃ,ʏtʃ,[],,['chan2019'],,False,False,,1
qash1240-1-3-2,,qash1240-1,3,ɪːtʃ,ɪːtʃ,[],,['chan2019'],,False,False,,1
qash1240-1-4-1,,qash1240-1,4,dørd̥,dørd̥,[],,['chan2019'],,False,False,,1
qash1240-1-5-1,,qash1240-1,5,bɪeːʃ,bɪeːʃ,[],,['chan2019'],,False,False,,1
qash1240-1-6-1,,qash1240-1,6,ˀɑltoᶷ,ˀɑltoᶷ,[],,['chan2019'],,False,False,,1
qash1240-1-7-1,,qash1240-1,7,jeˀdde,jeˀdde,[],,['chan2019'],,False,False,,1
qash1240-1-8-1,,qash1240-1,8,sækkʰɪz̥,sækkʰɪz̥,[],,['chan2019'],,False,False,,1
qash1240-1-9-1,,qash1240-1,9,doqqoᶷz̥,doqqoᶷz̥,[],,['chan2019'],,False,False,,1
qash1240-1-10-1,,qash1240-1,10,ᶷon,ᶷon,[],,['chan2019'],,False,False,,1
qash1240-1-11-1,,qash1240-1,11,ᶷommɪɹ,ᶷommɪɹ,[],,['chan2019'],,False,False,,1
qash1240-1-11-2,,qash1240-1,11,ᶷonbiːɹ,ᶷonbiːɹ,[],,['chan2019'],,False,False,,1
qash1240-1-12-1,,qash1240-1,12,ᶷon ɪˀkkʰe,ᶷon ɪˀkkʰe,[],,['chan2019'],,False,False,,1
qash1240-1-13-1,,qash1240-1,13,ᶷon ʏtʃ,ᶷon ʏtʃ,[],,['chan2019'],,False,False,,1
qash1240-1-13-2,,qash1240-1,13,ɪːtʃ,ɪːtʃ,[],,['chan2019'],,False,False,,1
qash1240-1-14-1,,qash1240-1,14,ᶷon dørd̥,ᶷon dørd̥,[],,['chan2019'],,False,False,,1
qash1240-1-15-1,,qash1240-1,15,ᶷon bɪeːʃ,ᶷon bɪeːʃ,[],,['chan2019'],,False,False,,1
qash1240-1-16-1,,qash1240-1,16,ᶷon ˀɑltoᶷ,ᶷon ˀɑltoᶷ,[],,['chan2019'],,False,False,,1
qash1240-1-17-1,,qash1240-1,17,ᶷon jeˀdde,ᶷon jeˀdde,[],,['chan2019'],,False,False,,1
qash1240-1-18-1,,qash1240-1,18,ᶷon sækkʰɪz̥,ᶷon sækkʰɪz̥,[],,['chan2019'],,False,False,,1
qash1240-1-19-1,,qash1240-1,19,ᶷon doqqoᶷz̥,ᶷon doqqoᶷz̥,[],,['chan2019'],,False,False,,1
qash1240-1-20-1,,qash1240-1,20,jirmeː,jirmeː,[],,['chan2019'],,False,False,,1
qash1240-1-20-2,,qash1240-1,20,jirmə,jirmə,[],,['chan2019'],,False,False,,1
qash1240-1-21-1,,qash1240-1,21,jirmeː biːɹ,jirmeː biːɹ,[],,['chan2019'],,False,False,,1
qash1240-1-22-1,,qash1240-1,22,jirmeː ɪˀkkʰe,jirmeː ɪˀkkʰe,[],,['chan2019'],,False,False,,1
qash1240-1-23-1,,qash1240-1,23,jirmeː ʏtʃ,jirmeː ʏtʃ,[],,['chan2019'],,False,False,,1
qash1240-1-23-2,,qash1240-1,23,ɪːtʃ,ɪːtʃ,[],,['chan2019'],,False,False,,1
qash1240-1-24-1,,qash1240-1,24,jirmeː dørd̥,jirmeː dørd̥,[],,['chan2019'],,False,False,,1
qash1240-1-25-1,,qash1240-1,25,jirmeː bɪeːʃ,jirmeː bɪeːʃ,[],,['chan2019'],,False,False,,1
qash1240-1-26-1,,qash1240-1,26,jirmeː ˀɑltoᶷ,jirmeː ˀɑltoᶷ,[],,['chan2019'],,False,False,,1
qash1240-1-27-1,,qash1240-1,27,jirmeː jeˀdde,jirmeː jeˀdde,[],,['chan2019'],,False,False,,1
qash1240-1-28-1,,qash1240-1,28,jirmeː sækkʰɪz̥,jirmeː sækkʰɪz̥,[],,['chan2019'],,False,False,,1
qash1240-1-29-1,,qash1240-1,29,jirmeː doqqoᶷz̥,jirmeː doqqoᶷz̥,[],,['chan2019'],,False,False,,1
qash1240-1-30-1,,qash1240-1,30,ottʰʊz̥,ottʰʊz̥,[],,['chan2019'],,False,False,,1
qash1240-1-40-1,,qash1240-1,40,ɢɨrx,ɢɨrx,[],,['chan2019'],,False,False,,1
qash1240-1-50-1,,qash1240-1,50,ˀalle,ˀalle,[],,['chan2019'],,False,False,,1
qash1240-1-60-1,,qash1240-1,60,ˀɑld̥mɞʃ,ˀɑld̥mɞʃ,[],,['chan2019'],,False,False,,1
qash1240-1-70-1,,qash1240-1,70,jed̥mɞʃ,jed̥mɞʃ,[],,['chan2019'],,False,False,,1
qash1240-1-80-1,,qash1240-1,80,sajsan,sajsan,[],,['chan2019'],,False,False,,1
qash1240-1-90-1,,qash1240-1,90,doxsan,doxsan,[],,['chan2019'],,False,False,,1
qash1240-1-100-1,,qash1240-1,100,yːz,yːz,[],,['chan2019'],,False,False,,1
qash1240-1-200-1,,qash1240-1,200,ɪˀkkʰe yːz,ɪˀkkʰe yːz,[],,['chan2019'],,False,False,,1
qash1240-1-1000-1,,qash1240-1,1000,mɪn,mɪn,[],,['chan2019'],,False,False,,1
qash1240-1-1000-2,,qash1240-1,1000,miŋ,miŋ,[],,['chan2019'],,False,False,,1
qash1240-1-2000-1,,qash1240-1,2000,ɪˀkkʰe min,ɪˀkkʰe min,[],,['chan2019'],,False,False,,1
