ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
roma1332-1-1-1,,roma1332-1,1,ʔida,ʔida,[],,['chan2019'],,False,False,,1
roma1332-1-2-1,,roma1332-1,2,wo'rua,wo'rua,[],,['chan2019'],,False,False,,1
roma1332-1-3-1,,roma1332-1,3,wo'telu,wo'telu,[],,['chan2019'],,False,False,,1
roma1332-1-4-1,,roma1332-1,4,wo'ata,wo'ata,[],,['chan2019'],,False,False,,1
roma1332-1-5-1,,roma1332-1,5,wo'lima,wo'lima,[],,['chan2019'],,False,False,,1
roma1332-1-6-1,,roma1332-1,6,wo'neme,wo'neme,[],,['chan2019'],,False,False,,1
roma1332-1-7-1,,roma1332-1,7,woʔ'itu,woʔ'itu,[],,['chan2019'],,False,False,,1
roma1332-1-8-1,,roma1332-1,8,woʔ'allu,woʔ'allu,[],,['chan2019'],,False,False,,1
roma1332-1-9-1,,roma1332-1,9,wo'hia,wo'hia,[],,['chan2019'],,False,False,,1
roma1332-1-10-1,,roma1332-1,10,ʔid'weli,ʔid'weli,[],,['chan2019'],,False,False,,1
roma1332-1-11-1,,roma1332-1,11,ʔid'weli ʔida,ʔid'weli ʔida,[],,['chan2019'],,False,False,,1
roma1332-1-12-1,,roma1332-1,12,ʔid'weli wo'rua,ʔid'weli wo'rua,[],,['chan2019'],,False,False,,1
roma1332-1-13-1,,roma1332-1,13,ʔid'weli wo'telu,ʔid'weli wo'telu,[],,['chan2019'],,False,False,,1
roma1332-1-14-1,,roma1332-1,14,ʔid'weli wo'ata,ʔid'weli wo'ata,[],,['chan2019'],,False,False,,1
roma1332-1-15-1,,roma1332-1,15,ʔid'weli wo'lima,ʔid'weli wo'lima,[],,['chan2019'],,False,False,,1
roma1332-1-16-1,,roma1332-1,16,ʔid'weli wo'neme,ʔid'weli wo'neme,[],,['chan2019'],,False,False,,1
roma1332-1-17-1,,roma1332-1,17,ʔid'weli woʔ'itu,ʔid'weli woʔ'itu,[],,['chan2019'],,False,False,,1
roma1332-1-18-1,,roma1332-1,18,ʔid'weli woʔ'allu,ʔid'weli woʔ'allu,[],,['chan2019'],,False,False,,1
roma1332-1-19-1,,roma1332-1,19,ʔid'weli wo'hia,ʔid'weli wo'hia,[],,['chan2019'],,False,False,,1
roma1332-1-20-1,,roma1332-1,20,wehrjuʷa,wehrjuʷa,[],,['chan2019'],,False,False,,1
roma1332-1-21-1,,roma1332-1,21,wehrjuʷa ʔida,wehrjuʷa ʔida,[],,['chan2019'],,False,False,,1
roma1332-1-22-1,,roma1332-1,22,wehrjuʷa wo'rua,wehrjuʷa wo'rua,[],,['chan2019'],,False,False,,1
roma1332-1-23-1,,roma1332-1,23,wehrjuʷa wo'telu,wehrjuʷa wo'telu,[],,['chan2019'],,False,False,,1
roma1332-1-24-1,,roma1332-1,24,wehrjuʷa wo'ata,wehrjuʷa wo'ata,[],,['chan2019'],,False,False,,1
roma1332-1-25-1,,roma1332-1,25,wehrjuʷa wo'lima,wehrjuʷa wo'lima,[],,['chan2019'],,False,False,,1
roma1332-1-26-1,,roma1332-1,26,wehrjuʷa wo'neme,wehrjuʷa wo'neme,[],,['chan2019'],,False,False,,1
roma1332-1-27-1,,roma1332-1,27,wehrjuʷa woʔ'itu,wehrjuʷa woʔ'itu,[],,['chan2019'],,False,False,,1
roma1332-1-28-1,,roma1332-1,28,wehrjuʷa woʔ'allu,wehrjuʷa woʔ'allu,[],,['chan2019'],,False,False,,1
roma1332-1-29-1,,roma1332-1,29,wehrjuʷa wo'hia,wehrjuʷa wo'hia,[],,['chan2019'],,False,False,,1
roma1332-1-30-1,,roma1332-1,30,wel'tjelu,wel'tjelu,[],,['chan2019'],,False,False,,1
roma1332-1-30-2,,roma1332-1,30,wel'tielu,wel'tielu,[],,['chan2019'],,False,False,,1
roma1332-1-40-1,,roma1332-1,40,wel'yaka,wel'yaka,[],,['chan2019'],,False,False,,1
roma1332-1-50-1,,roma1332-1,50,wel'yima,wel'yima,[],,['chan2019'],,False,False,,1
roma1332-1-60-1,,roma1332-1,60,wel'ɲeeme,wel'ɲeeme,[],,['chan2019'],,False,False,,1
roma1332-1-70-1,,roma1332-1,70,wel'yitu,wel'yitu,[],,['chan2019'],,False,False,,1
roma1332-1-80-1,,roma1332-1,80,wel'yallu,wel'yallu,[],,['chan2019'],,False,False,,1
roma1332-1-90-1,,roma1332-1,90,weli'hiː,weli'hiː,[],,['chan2019'],,False,False,,1
roma1332-1-90-2,,roma1332-1,90,wel'hiː,wel'hiː,[],,['chan2019'],,False,False,,1
roma1332-1-100-1,,roma1332-1,100,rahtu ʔida,rahtu ʔida,[],,['chan2019'],,False,False,,1
roma1332-1-200-1,,roma1332-1,200,rahtu wo'rua,rahtu wo'rua,[],,['chan2019'],,False,False,,1
roma1332-1-1000-1,,roma1332-1,1000,riunnida,riunnida,[],,['chan2019'],,False,False,,1
roma1332-1-2000-1,,roma1332-1,2000,riun wo'rua,riun wo'rua,[],,['chan2019'],,False,False,,1
