ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
sekp1241-1-1-1,,sekp1241-1,1,nʊ̀ɛ́,nʊ̀ɛ́,[],(lɛ̀wɛ́),['chan2019'],,False,False,,1
sekp1241-1-2-1,,sekp1241-1,2,núə̀,núə̀,[],,['chan2019'],,False,False,,1
sekp1241-1-3-1,,sekp1241-1,3,ǹtsyə́,ǹtsyə́,[],,['chan2019'],,False,False,,1
sekp1241-1-4-1,,sekp1241-1,4,ńnà,ńnà,[],,['chan2019'],,False,False,,1
sekp1241-1-5-1,,sekp1241-1,5,ǹnɔ́,ǹnɔ́,[],,['chan2019'],,False,False,,1
sekp1241-1-6-1,,sekp1241-1,6,ǹkùá,ǹkùá,[],,['chan2019'],,False,False,,1
sekp1241-1-7-1,,sekp1241-1,7,kùánsè,kùánsè,[],,['chan2019'],,False,False,,1
sekp1241-1-8-1,,sekp1241-1,8,yèní,yèní,[],,['chan2019'],,False,False,,1
sekp1241-1-9-1,,sekp1241-1,9,nàsé,nàsé,[],,['chan2019'],,False,False,,1
sekp1241-1-10-1,,sekp1241-1,10,lèfòsì,lèfòsì,[],,['chan2019'],,False,False,,1
sekp1241-1-11-1,,sekp1241-1,11,lèfòsì-lɛ̀wɛ́,lèfòsì-lɛ̀wɛ́,[],,['chan2019'],,False,False,,1
sekp1241-1-12-1,,sekp1241-1,12,lèfòsì-ǹnúə̀,lèfòsì-ǹnúə̀,[],,['chan2019'],,False,False,,1
sekp1241-1-13-1,,sekp1241-1,13,lèfòsì-ǹtsyə́,lèfòsì-ǹtsyə́,[],,['chan2019'],,False,False,,1
sekp1241-1-14-1,,sekp1241-1,14,lèfòsì-ńnà,lèfòsì-ńnà,[],,['chan2019'],,False,False,,1
sekp1241-1-15-1,,sekp1241-1,15,lèfòsì-ǹnɔ́,lèfòsì-ǹnɔ́,[],,['chan2019'],,False,False,,1
sekp1241-1-16-1,,sekp1241-1,16,lèfòsì-ǹkùá,lèfòsì-ǹkùá,[],,['chan2019'],,False,False,,1
sekp1241-1-17-1,,sekp1241-1,17,lèfòsì-ǹkùánsè,lèfòsì-ǹkùánsè,[],,['chan2019'],,False,False,,1
sekp1241-1-18-1,,sekp1241-1,18,lèfòsì-m̀fámflá,lèfòsì-m̀fámflá,[],,['chan2019'],,False,False,,1
sekp1241-1-19-1,,sekp1241-1,19,lèfòsì-ǹwɔ̀nɔ́mbə́,lèfòsì-ǹwɔ̀nɔ́mbə́,[],,['chan2019'],,False,False,,1
sekp1241-1-20-1,,sekp1241-1,20,àwòsì-ə̀núə̀,àwòsì-ə̀núə̀,[],,['chan2019'],,False,False,,1
sekp1241-1-21-1,,sekp1241-1,21,àwòsì-ə̀núə̀-lɛ̀wɛ́,àwòsì-ə̀núə̀-lɛ̀wɛ́,[],,['chan2019'],,False,False,,1
sekp1241-1-22-1,,sekp1241-1,22,àwòsì-ə̀núə̀-ǹnúə̀,àwòsì-ə̀núə̀-ǹnúə̀,[],,['chan2019'],,False,False,,1
sekp1241-1-23-1,,sekp1241-1,23,àwòsì-ə̀núə̀-ə̀tsyə́,àwòsì-ə̀núə̀-ə̀tsyə́,[],,['chan2019'],,False,False,,1
sekp1241-1-24-1,,sekp1241-1,24,àwòsì-ə̀núə̀-ánà,àwòsì-ə̀núə̀-ánà,[],,['chan2019'],,False,False,,1
sekp1241-1-25-1,,sekp1241-1,25,àwòsì-ə̀núə̀-ànɔ́,àwòsì-ə̀núə̀-ànɔ́,[],,['chan2019'],,False,False,,1
sekp1241-1-26-1,,sekp1241-1,26,àwòsì-ə̀núə̀-àkùá,àwòsì-ə̀núə̀-àkùá,[],,['chan2019'],,False,False,,1
sekp1241-1-27-1,,sekp1241-1,27,àwòsì-ə̀núə̀-àkùánsè,àwòsì-ə̀núə̀-àkùánsè,[],,['chan2019'],,False,False,,1
sekp1241-1-28-1,,sekp1241-1,28,àwòsì-ə̀núə̀-m̀fámflá,àwòsì-ə̀núə̀-m̀fámflá,[],,['chan2019'],,False,False,,1
sekp1241-1-29-1,,sekp1241-1,29,àwòsì-ə̀núə̀-ǹwɔ̀nɔ́mbə́,àwòsì-ə̀núə̀-ǹwɔ̀nɔ́mbə́,[],,['chan2019'],,False,False,,1
sekp1241-1-30-1,,sekp1241-1,30,àwòsì-ə̀tsyə́,àwòsì-ə̀tsyə́,[],,['chan2019'],,False,False,,1
sekp1241-1-40-1,,sekp1241-1,40,àwósì-ánà,àwósì-ánà,[],,['chan2019'],,False,False,,1
sekp1241-1-50-1,,sekp1241-1,50,àwósì-ànɔ́,àwósì-ànɔ́,[],,['chan2019'],,False,False,,1
sekp1241-1-60-1,,sekp1241-1,60,àwósì-àkùá,àwósì-àkùá,[],,['chan2019'],,False,False,,1
sekp1241-1-70-1,,sekp1241-1,70,àwósì-àkúansè,àwósì-àkúansè,[],,['chan2019'],,False,False,,1
sekp1241-1-80-1,,sekp1241-1,80,àwósì-m̀fámflá,àwósì-m̀fámflá,[],,['chan2019'],,False,False,,1
sekp1241-1-90-1,,sekp1241-1,90,àwósì-àwɔ̀nɔ́mbə́,àwósì-àwɔ̀nɔ́mbə́,[],,['chan2019'],,False,False,,1
sekp1241-1-100-1,,sekp1241-1,100,kòlòfá,kòlòfá,[],,['chan2019'],,False,False,,1
sekp1241-1-200-1,,sekp1241-1,200,àlòfá-ə́núə̀,àlòfá-ə́núə̀,[],,['chan2019'],,False,False,,1
sekp1241-1-1000-1,,sekp1241-1,1000,kɔ̀kpí,kɔ̀kpí,[],,['chan2019'],,False,False,,1
sekp1241-1-2000-1,,sekp1241-1,2000,àkpí-ə̀núə̀,àkpí-ə̀núə̀,[],,['chan2019'],,False,False,,1
