ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
selk1253-1-1-1,,selk1253-1,1,ˈukkər,ˈukkər,[],,['chan2019'],,False,False,,1
selk1253-1-2-1,,selk1253-1,2,ˈɕittə,ˈɕittə,[],,['chan2019'],,False,False,,1
selk1253-1-3-1,,selk1253-1,3,ˈnɔːkər,ˈnɔːkər,[],,['chan2019'],,False,False,,1
selk1253-1-4-1,,selk1253-1,4,ˈtɛːttə,ˈtɛːttə,[],,['chan2019'],,False,False,,1
selk1253-1-5-1,,selk1253-1,5,ˈsompəla,ˈsompəla,[],,['chan2019'],,False,False,,1
selk1253-1-6-1,,selk1253-1,6,ˈmuktət,ˈmuktət,[],,['chan2019'],,False,False,,1
selk1253-1-7-1,,selk1253-1,7,ˈseːʎt͡ɕə,ˈseːʎt͡ɕə,[],,['chan2019'],,False,False,,1
selk1253-1-8-1,,selk1253-1,8,ˈɕittəˈt͡ɕæːŋkətəʎ køt,ˈɕittəˈt͡ɕæːŋkətəʎ køt,[],( 10 - 2 ),['chan2019'],,False,False,,1
selk1253-1-9-1,,selk1253-1,9,ˈukkərˈt͡ɕæːŋkətəʎ køt,ˈukkərˈt͡ɕæːŋkətəʎ køt,[],( 10 - 1 ),['chan2019'],,False,False,,1
selk1253-1-10-1,,selk1253-1,10,køt,køt,[],,['chan2019'],,False,False,,1
selk1253-1-11-1,,selk1253-1,11,ˈukkər kɤːʎ køt,ˈukkər kɤːʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-12-1,,selk1253-1,12,ˈɕittə kɤːʎ køt,ˈɕittə kɤːʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-13-1,,selk1253-1,13,ˈnɔːkər kɤːʎ køt,ˈnɔːkər kɤːʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-14-1,,selk1253-1,14,ˈtɛːttə kɤːʎ køt,ˈtɛːttə kɤːʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-15-1,,selk1253-1,15,ˈsompəla kɤːʎ køt,ˈsompəla kɤːʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-16-1,,selk1253-1,16,ˈmuktət kɤːʎ køt,ˈmuktət kɤːʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-17-1,,selk1253-1,17,ˈseːʎt͡ɕə kɤːʎ køt,ˈseːʎt͡ɕə kɤːʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-18-1,,selk1253-1,18,ˈɕittəˈt͡ɕæːŋkətəʎ ˈɕittsar,ˈɕittəˈt͡ɕæːŋkətəʎ ˈɕittsar,[],( 20 - 2),['chan2019'],,False,False,,1
selk1253-1-19-1,,selk1253-1,19,ˈukkərˈt͡ɕæːŋkətəʎ ˈɕittsar,ˈukkərˈt͡ɕæːŋkətəʎ ˈɕittsar,[],( 20 -1),['chan2019'],,False,False,,1
selk1253-1-20-1,,selk1253-1,20,ˈɕittsar,ˈɕittsar,[],,['chan2019'],,False,False,,1
selk1253-1-21-1,,selk1253-1,21,ˈɕittsar ɛj ˈukkər,ˈɕittsar ɛj ˈukkər,[],,['chan2019'],,False,False,,1
selk1253-1-22-1,,selk1253-1,22,ˈɕittsar ɛj ˈɕittə,ˈɕittsar ɛj ˈɕittə,[],,['chan2019'],,False,False,,1
selk1253-1-23-1,,selk1253-1,23,ˈɕittsar ɛj ˈnɔːkər,ˈɕittsar ɛj ˈnɔːkər,[],,['chan2019'],,False,False,,1
selk1253-1-24-1,,selk1253-1,24,ˈɕittsar ɛj ˈtɛːttə,ˈɕittsar ɛj ˈtɛːttə,[],,['chan2019'],,False,False,,1
selk1253-1-25-1,,selk1253-1,25,ˈɕittsar ɛj ˈsompəla,ˈɕittsar ɛj ˈsompəla,[],,['chan2019'],,False,False,,1
selk1253-1-26-1,,selk1253-1,26,ˈɕittsar ɛj ˈmuktət,ˈɕittsar ɛj ˈmuktət,[],,['chan2019'],,False,False,,1
selk1253-1-27-1,,selk1253-1,27,ˈɕittsar ɛj ˈseːʎt͡ɕə,ˈɕittsar ɛj ˈseːʎt͡ɕə,[],,['chan2019'],,False,False,,1
selk1253-1-28-1,,selk1253-1,28,ˈɕittsar ɛj ˈɕittəˈt͡ɕæːŋkətəʎ køt,ˈɕittsar ɛj ˈɕittəˈt͡ɕæːŋkətəʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-29-1,,selk1253-1,29,ˈɕittsar ɛj ˈukkərˈt͡ɕæːŋkətəʎ køt,ˈɕittsar ɛj ˈukkərˈt͡ɕæːŋkətəʎ køt,[],,['chan2019'],,False,False,,1
selk1253-1-30-1,,selk1253-1,30,ˈnassar,ˈnassar,[],,['chan2019'],,False,False,,1
selk1253-1-40-1,,selk1253-1,40,ˈtɛːsar,ˈtɛːsar,[],,['chan2019'],,False,False,,1
selk1253-1-50-1,,selk1253-1,50,ˈsompəlsar,ˈsompəlsar,[],,['chan2019'],,False,False,,1
selk1253-1-60-1,,selk1253-1,60,ˈmuktsar,ˈmuktsar,[],,['chan2019'],,False,False,,1
selk1253-1-60-2,,selk1253-1,60,ˈmuksar,ˈmuksar,[],,['chan2019'],,False,False,,1
selk1253-1-70-1,,selk1253-1,70,ˈseːʎt͡ɕəsa,ˈseːʎt͡ɕəsa,[],,['chan2019'],,False,False,,1
selk1253-1-70-2,,selk1253-1,70,ˈseːʎt͡ɕsar,ˈseːʎt͡ɕsar,[],,['chan2019'],,False,False,,1
selk1253-1-80-1,,selk1253-1,80,ˈɕittəˈtɛːsar,ˈɕittəˈtɛːsar,[],( 2 x 40 ),['chan2019'],,False,False,,1
selk1253-1-90-1,,selk1253-1,90,ˈkøt ˈt͡ɕæːŋkətəʎ toːn,ˈkøt ˈt͡ɕæːŋkətəʎ toːn,[],( 100 - 10),['chan2019'],,False,False,,1
selk1253-1-100-1,,selk1253-1,100,toːn,toːn,[],,['chan2019'],,False,False,,1
selk1253-1-200-1,,selk1253-1,200,ˈɕittə toːn,ˈɕittə toːn,[],,['chan2019'],,False,False,,1
selk1253-1-1000-1,,selk1253-1,1000,køt toːn,køt toːn,[],( 10 x 100 ),['chan2019'],,False,False,,1
selk1253-1-1000-2,,selk1253-1,1000,ˈtiɕɕa,ˈtiɕɕa,[],< Russian ,['chan2019'],,True,False,,1
selk1253-1-2000-1,,selk1253-1,2000,ˈɕittə ˈtiɕɕa,ˈɕittə ˈtiɕɕa,[],,['chan2019'],,False,False,,1
