ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
seve1240-2-1-1,,seve1240-2,1,peˑʃik,peˑʃik,[],,['chan2019'],,False,False,,2
seve1240-2-2-1,,seve1240-2,2,niˑʃin,niˑʃin,[],,['chan2019'],,False,False,,2
seve1240-2-3-1,,seve1240-2,3,nihsin,nihsin,[],,['chan2019'],,False,False,,2
seve1240-2-4-1,,seve1240-2,4,niˑwin,niˑwin,[],,['chan2019'],,False,False,,2
seve1240-2-5-1,,seve1240-2,5,niyanan,niyanan,[],,['chan2019'],,False,False,,2
seve1240-2-6-1,,seve1240-2,6,kotwaˑhso,kotwaˑhso,[],,['chan2019'],,False,False,,2
seve1240-2-7-1,,seve1240-2,7,niˑʃwaˑhso,niˑʃwaˑhso,[],,['chan2019'],,False,False,,2
seve1240-2-8-1,,seve1240-2,8,ayinaˑaniw,ayinaˑaniw,[],,['chan2019'],,False,False,,2
seve1240-2-9-1,,seve1240-2,9,ʃaˑkahso,ʃaˑkahso,[],,['chan2019'],,False,False,,2
seve1240-2-10-1,,seve1240-2,10,mitaˑhso,mitaˑhso,[],,['chan2019'],,False,False,,2
seve1240-2-11-1,,seve1240-2,11,peˑʃikoʃaˑp,peˑʃikoʃaˑp,[],,['chan2019'],,False,False,,2
seve1240-2-20-1,,seve1240-2,20,niˑʃtana,niˑʃtana,[],,['chan2019'],,False,False,,2
seve1240-2-21-1,,seve1240-2,21,niˑʃtana peˑʃikoʃaˑp,niˑʃtana peˑʃikoʃaˑp,[],,['chan2019'],,False,False,,2
