ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
tail1246-2-1-1,,tail1246-2,1,ak,ak,[],,['chan2019'],,False,False,,2
tail1246-2-2-1,,tail1246-2,2,kəʔɑʔ,kəʔɑʔ,[],,['chan2019'],,False,False,,2
tail1246-2-3-1,,tail1246-2,3,kəʔoi,kəʔoi,[],,['chan2019'],,False,False,,2
tail1246-2-4-1,,tail1246-2,4,sɪ,sɪ,[],( all Shan loans hereafter),['chan2019'],,False,False,,2
tail1246-2-5-1,,tail1246-2,5,ha,ha,[],,['chan2019'],,False,False,,2
tail1246-2-6-1,,tail1246-2,6,rok,rok,[],,['chan2019'],,False,False,,2
tail1246-2-7-1,,tail1246-2,7,cet,cet,[],,['chan2019'],,False,False,,2
tail1246-2-8-1,,tail1246-2,8,pet,pet,[],,['chan2019'],,False,False,,2
tail1246-2-9-1,,tail1246-2,9,kaw,kaw,[],,['chan2019'],,False,False,,2
tail1246-2-10-1,,tail1246-2,10,sʰɪp,sʰɪp,[],,['chan2019'],,False,False,,2
tail1246-2-11-1,,tail1246-2,11,sʰɪp ɪt or sʰip ak ??,sʰɪp ɪt or sʰip ak ??,[],,['chan2019'],,False,True,,2
tail1246-2-12-1,,tail1246-2,12,sʰɪp sɔŋ or sʰip kəʔɑʔ ??,sʰɪp sɔŋ or sʰip kəʔɑʔ ??,[],,['chan2019'],,False,True,,2
tail1246-2-13-1,,tail1246-2,13,sʰɪpsam or sʰip kəʔoi ??,sʰɪpsam or sʰip kəʔoi ??,[],,['chan2019'],,False,True,,2
tail1246-2-14-1,,tail1246-2,14,sʰɪpsɪ,sʰɪpsɪ,[],,['chan2019'],,False,False,,2
tail1246-2-15-1,,tail1246-2,15,sʰɪpha,sʰɪpha,[],,['chan2019'],,False,False,,2
tail1246-2-16-1,,tail1246-2,16,sʰɪprok,sʰɪprok,[],,['chan2019'],,False,False,,2
tail1246-2-17-1,,tail1246-2,17,sʰɪp cet,sʰɪp cet,[],,['chan2019'],,False,False,,2
tail1246-2-18-1,,tail1246-2,18,sʰɪppet,sʰɪppet,[],,['chan2019'],,False,False,,2
tail1246-2-19-1,,tail1246-2,19,sʰɪp kaw,sʰɪp kaw,[],,['chan2019'],,False,False,,2
tail1246-2-20-1,,tail1246-2,20,saw,saw,[],,['chan2019'],,False,False,,2
tail1246-2-21-1,,tail1246-2,21,saw ɪt or saw ak?,saw ɪt or saw ak?,[],,['chan2019'],,False,True,,2
tail1246-2-22-1,,tail1246-2,22,saw sɔŋ or saw kəʔɑʔ ??,saw sɔŋ or saw kəʔɑʔ ??,[],,['chan2019'],,False,True,,2
tail1246-2-23-1,,tail1246-2,23,saw sam or saw kəʔoi ??,saw sam or saw kəʔoi ??,[],,['chan2019'],,False,True,,2
tail1246-2-24-1,,tail1246-2,24,saw sɪ,saw sɪ,[],,['chan2019'],,False,False,,2
tail1246-2-25-1,,tail1246-2,25,sawha,sawha,[],,['chan2019'],,False,False,,2
tail1246-2-26-1,,tail1246-2,26,saw rok,saw rok,[],,['chan2019'],,False,False,,2
tail1246-2-27-1,,tail1246-2,27,saw cet,saw cet,[],,['chan2019'],,False,False,,2
tail1246-2-28-1,,tail1246-2,28,saw pet,saw pet,[],,['chan2019'],,False,False,,2
tail1246-2-29-1,,tail1246-2,29,saw kaw,saw kaw,[],,['chan2019'],,False,False,,2
tail1246-2-30-1,,tail1246-2,30,sam sʰɪp or kəʔoi sʰp,sam sʰɪp or kəʔoi sʰp,[],,['chan2019'],,False,True,,2
tail1246-2-40-1,,tail1246-2,40,si sʰɪp,si sʰɪp,[],,['chan2019'],,False,False,,2
tail1246-2-50-1,,tail1246-2,50,ha sʰɪp,ha sʰɪp,[],,['chan2019'],,False,False,,2
tail1246-2-60-1,,tail1246-2,60,rok sʰɪp,rok sʰɪp,[],,['chan2019'],,False,False,,2
tail1246-2-70-1,,tail1246-2,70,cet sʰɪp,cet sʰɪp,[],,['chan2019'],,False,False,,2
tail1246-2-80-1,,tail1246-2,80,pet sʰɪp,pet sʰɪp,[],,['chan2019'],,False,False,,2
tail1246-2-90-1,,tail1246-2,90,kaw sʰɪp,kaw sʰɪp,[],,['chan2019'],,False,False,,2
tail1246-2-100-1,,tail1246-2,100,akpak ??,akpak ??,[],,['chan2019'],,False,True,,2
tail1246-2-200-1,,tail1246-2,200,kəʔɑʔ pak ??,kəʔɑʔ pak ??,[],,['chan2019'],,False,True,,2
tail1246-2-1000-1,,tail1246-2,1000,ak heɲ ??,ak heɲ ??,[],,['chan2019'],,False,True,,2
tail1246-2-2000-1,,tail1246-2,2000,kəʔɑʔ heɲ ??,kəʔɑʔ heɲ ??,[],,['chan2019'],,False,True,,2
