ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
tsam1247-1-1-1,,tsam1247-1,1,doːkːo,doːkːo,[],,['chan2019'],,False,False,,1
tsam1247-1-2-1,,tsam1247-1,2,laːkːi,laːkːi,[],,['chan2019'],,False,False,,1
tsam1247-1-3-1,,tsam1247-1,3,zeːħ,zeːħ,[],,['chan2019'],,False,False,,1
tsam1247-1-4-1,,tsam1247-1,4,salaħ,salaħ,[],,['chan2019'],,False,False,,1
tsam1247-1-5-1,,tsam1247-1,5,χobin,χobin,[],,['chan2019'],,False,False,,1
tsam1247-1-6-1,,tsam1247-1,6,tabːen,tabːen,[],,['chan2019'],,False,False,,1
tsam1247-1-7-1,,tsam1247-1,7,taħːan,taħːan,[],,['chan2019'],,False,False,,1
tsam1247-1-8-1,,tsam1247-1,8,sezːen,sezːen,[],,['chan2019'],,False,False,,1
tsam1247-1-9-1,,tsam1247-1,9,ɡolːan,ɡolːan,[],,['chan2019'],,False,False,,1
tsam1247-1-10-1,,tsam1247-1,10,kuŋko,kuŋko,[],,['chan2019'],,False,False,,1
tsam1247-1-11-1,,tsam1247-1,11,kuŋko doːkːo,kuŋko doːkːo,[],,['chan2019'],,False,False,,1
tsam1247-1-12-1,,tsam1247-1,12,kuŋko lakːi,kuŋko lakːi,[],,['chan2019'],,False,False,,1
tsam1247-1-13-1,,tsam1247-1,13,kuŋko zeːħ,kuŋko zeːħ,[],,['chan2019'],,False,False,,1
tsam1247-1-14-1,,tsam1247-1,14,kuŋko salaħ,kuŋko salaħ,[],,['chan2019'],,False,False,,1
tsam1247-1-15-1,,tsam1247-1,15,kuŋko χobin,kuŋko χobin,[],,['chan2019'],,False,False,,1
tsam1247-1-16-1,,tsam1247-1,16,kuŋko tabːen,kuŋko tabːen,[],,['chan2019'],,False,False,,1
tsam1247-1-17-1,,tsam1247-1,17,kuŋko sezːen,kuŋko sezːen,[],,['chan2019'],,False,False,,1
tsam1247-1-18-1,,tsam1247-1,18,kuŋko sezːen,kuŋko sezːen,[],,['chan2019'],,False,False,,1
tsam1247-1-19-1,,tsam1247-1,19,kuŋko ɡolːan,kuŋko ɡolːan,[],,['chan2019'],,False,False,,1
tsam1247-1-20-1,,tsam1247-1,20,qˀawko mume,qˀawko mume,[],( ' one entire man '),['chan2019'],,False,False,,1
tsam1247-1-21-1,,tsam1247-1,21,qˀawko mume ba baɡo doːkoː,qˀawko mume ba baɡo doːkoː,[],,['chan2019'],,False,False,,1
tsam1247-1-22-1,,tsam1247-1,22,qˀawko mume ba baɡo lakːi,qˀawko mume ba baɡo lakːi,[],,['chan2019'],,False,False,,1
tsam1247-1-23-1,,tsam1247-1,23,qˀawko mume ba baɡo zeːħ,qˀawko mume ba baɡo zeːħ,[],,['chan2019'],,False,False,,1
tsam1247-1-24-1,,tsam1247-1,24,qˀawko mume ba baɡo salaħ,qˀawko mume ba baɡo salaħ,[],,['chan2019'],,False,False,,1
tsam1247-1-25-1,,tsam1247-1,25,qˀawko mume ba baɡo χobin,qˀawko mume ba baɡo χobin,[],,['chan2019'],,False,False,,1
tsam1247-1-26-1,,tsam1247-1,26,qˀawko mume ba baɡo tabːen,qˀawko mume ba baɡo tabːen,[],,['chan2019'],,False,False,,1
tsam1247-1-27-1,,tsam1247-1,27,qˀawko mume ba baɡo taħːan,qˀawko mume ba baɡo taħːan,[],,['chan2019'],,False,False,,1
tsam1247-1-28-1,,tsam1247-1,28,qˀawko mume ba baɡo sezːen,qˀawko mume ba baɡo sezːen,[],,['chan2019'],,False,False,,1
tsam1247-1-29-1,,tsam1247-1,29,qˀawko mume ba baɡo ɡolːan,qˀawko mume ba baɡo ɡolːan,[],,['chan2019'],,False,False,,1
tsam1247-1-30-1,,tsam1247-1,30,qˀawko mume ba baɡo kuŋko,qˀawko mume ba baɡo kuŋko,[],,['chan2019'],,False,False,,1
tsam1247-1-40-1,,tsam1247-1,40,qˀawko lakːi,qˀawko lakːi,[],,['chan2019'],,False,False,,1
tsam1247-1-40-2,,tsam1247-1,40,ɡore lakːi,ɡore lakːi,[],( 20 x 2 ),['chan2019'],,False,False,,1
tsam1247-1-50-1,,tsam1247-1,50,qˀawko lakːi ba baɡo kuŋko,qˀawko lakːi ba baɡo kuŋko,[],,['chan2019'],,False,False,,1
tsam1247-1-60-1,,tsam1247-1,60,qˀawko zeːħ,qˀawko zeːħ,[],,['chan2019'],,False,False,,1
tsam1247-1-60-2,,tsam1247-1,60,ɡore zeːħ,ɡore zeːħ,[],( 20 x 3 ),['chan2019'],,False,False,,1
tsam1247-1-70-1,,tsam1247-1,70,qˀawko zeːħ ba baɡo kuŋko,qˀawko zeːħ ba baɡo kuŋko,[],,['chan2019'],,False,False,,1
tsam1247-1-80-1,,tsam1247-1,80,qˀawko salaħ,qˀawko salaħ,[],,['chan2019'],,False,False,,1
tsam1247-1-80-2,,tsam1247-1,80,ɡore salaħ,ɡore salaħ,[],( 20 x 4 ),['chan2019'],,False,False,,1
tsam1247-1-90-1,,tsam1247-1,90,qˀawko salaħ ba baɡo kuŋko,qˀawko salaħ ba baɡo kuŋko,[],,['chan2019'],,False,False,,1
tsam1247-1-100-1,,tsam1247-1,100,qˀawko χobin,qˀawko χobin,[],,['chan2019'],,False,False,,1
tsam1247-1-100-2,,tsam1247-1,100,ɡore χobin,ɡore χobin,[],( 20 x 5 ),['chan2019'],,False,False,,1
tsam1247-1-200-1,,tsam1247-1,200,qˀawko kuŋko,qˀawko kuŋko,[],,['chan2019'],,False,False,,1
tsam1247-1-200-2,,tsam1247-1,200,mato lakːi,mato lakːi,[],,['chan2019'],,False,False,,1
tsam1247-1-1000-1,,tsam1247-1,1000,ʃi doːtːe,ʃi doːtːe,[],( ʃi < Amharic ),['chan2019'],,True,False,,1
tsam1247-1-2000-1,,tsam1247-1,2000,ʃi lakːi,ʃi lakːi,[],,['chan2019'],,False,False,,1
