ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
uare1241-1-1-1,,uare1241-1,1,tibɐ,tibɐ,[],,['chan2019'],,False,False,,1
uare1241-1-2-1,,uare1241-1,2,ɐhɛ̃ũ,ɐhɛ̃ũ,[],,['chan2019'],,False,False,,1
uare1241-1-3-1,,uare1241-1,3,ũɤidũ,ũɤidũ,[],,['chan2019'],,False,False,,1
uare1241-1-4-1,,uare1241-1,4,ɤɐʑɐɤɐ,ɤɐʑɐɤɐ,[],,['chan2019'],,False,False,,1
uare1241-1-5-1,,uare1241-1,5,fũʔo,fũʔo,[],,['chan2019'],,False,False,,1
uare1241-1-6-1,,uare1241-1,6,fũʔo tibɛ fɐɾɐ,fũʔo tibɛ fɐɾɐ,[],( 5 + 1 ),['chan2019'],,False,False,,1
uare1241-1-7-1,,uare1241-1,7,fũʔo ɐhɛ̃ũ fɐɾɐ,fũʔo ɐhɛ̃ũ fɐɾɐ,[],( 5 + 2 ),['chan2019'],,False,False,,1
uare1241-1-8-1,,uare1241-1,8,fũʔo ũɤidũ fɐɾɐ,fũʔo ũɤidũ fɐɾɐ,[],( 5 + 3 ),['chan2019'],,False,False,,1
uare1241-1-9-1,,uare1241-1,9,fũʔo ɤɐʑɐɤɐ fɐɾɐ,fũʔo ɤɐʑɐɤɐ fɐɾɐ,[],( 5 + 4 ),['chan2019'],,False,False,,1
uare1241-1-10-1,,uare1241-1,10,ɡɐubɐ̃nɐ̃nɐ,ɡɐubɐ̃nɐ̃nɐ,[],,['chan2019'],,False,False,,1
uare1241-1-11-1,,uare1241-1,11,ɡɐubɐ̃nɐ̃nɐ tibɛ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ tibɛ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-12-1,,uare1241-1,12,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃ũ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃ũ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-13-1,,uare1241-1,13,ɡɐubɐ̃nɐ̃nɐ ũɤidũ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ ũɤidũ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-14-1,,uare1241-1,14,ɡɐubɐ̃nɐ̃nɐ ɤɐʑɐɤɐ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ ɤɐʑɐɤɐ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-15-1,,uare1241-1,15,ɡɐubɐ̃nɐ̃nɐ fũʔo fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ fũʔo fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-16-1,,uare1241-1,16,ɡɐubɐ̃nɐ̃nɐ fũʔo tibɛ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ fũʔo tibɛ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-17-1,,uare1241-1,17,ɡɐubɐ̃nɐ̃nɐ fũʔo ɐhɛ̃ũ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ fũʔo ɐhɛ̃ũ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-18-1,,uare1241-1,18,ɡɐubɐ̃nɐ̃nɐ fũʔo ũɤidũ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ fũʔo ũɤidũ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-19-1,,uare1241-1,19,ɡɐubɐ̃nɐ̃nɐ fũʔo ɤɐʑɐɤɐ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ fũʔo ɤɐʑɐɤɐ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-20-1,,uare1241-1,20,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃ũ,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃ũ,[],,['chan2019'],,False,False,,1
uare1241-1-21-1,,uare1241-1,21,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃u tibɛ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃u tibɛ fɐɾɐ,[],,['chan2019'],,False,False,,1
uare1241-1-22-1,,uare1241-1,22,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃u ɐhɛ̃ũ fɐɾɐ,ɡɐubɐ̃nɐ̃nɐ ɐhɛ̃u ɐhɛ̃ũ fɐɾɐ,[],,['chan2019'],,False,False,,1
