ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
unaa1239-2-1-1,,unaa1239-2,1,tɛntɔkʰ,tɛntɔkʰ,[],,['chan2019'],,False,False,,2
unaa1239-2-2-1,,unaa1239-2,2,bitɪnyə,bitɪnyə,[],,['chan2019'],,False,False,,2
unaa1239-2-3-1,,unaa1239-2,3,wu'nɪɾji,wu'nɪɾji,[],,['chan2019'],,False,False,,2
unaa1239-2-4-1,,unaa1239-2,4,dum'bʌɾjə,dum'bʌɾjə,[],,['chan2019'],,False,False,,2
unaa1239-2-5-1,,unaa1239-2,5,ʔɑmu'bʌɾjə,ʔɑmu'bʌɾjə,[],,['chan2019'],,False,False,,2
unaa1239-2-6-1,,unaa1239-2,6,'nɑbʌɾjɔ,'nɑbʌɾjɔ,[],,['chan2019'],,False,False,,2
unaa1239-2-7-1,,unaa1239-2,7,'tɑbʌɾjɔ,'tɑbʌɾjɔ,[],,['chan2019'],,False,False,,2
unaa1239-2-8-1,,unaa1239-2,8,'ʔinbʌɾjɔ,'ʔinbʌɾjɔ,[],,['chan2019'],,False,False,,2
unaa1239-2-9-1,,unaa1239-2,9,tɑbnɪbʌɾjɔ,tɑbnɪbʌɾjɔ,[],,['chan2019'],,False,False,,2
unaa1239-2-10-1,,unaa1239-2,10,'tɑkubʌɾjə,'tɑkubʌɾjə,[],,['chan2019'],,False,False,,2
