ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
waha1238-1-1-1,,waha1238-1,1,ʄo,ʄo,[],,['chan2019'],,False,False,,1
waha1238-1-2-1,,waha1238-1,2,luɨ,luɨ,[],,['chan2019'],,False,False,,1
waha1238-1-3-1,,waha1238-1,3,təlu,təlu,[],,['chan2019'],,False,False,,1
waha1238-1-4-1,,waha1238-1,4,pat,pat,[],,['chan2019'],,False,False,,1
waha1238-1-5-1,,waha1238-1,5,ləmɨ,ləmɨ,[],,['chan2019'],,False,False,,1
waha1238-1-6-1,,waha1238-1,6,nəm,nəm,[],,['chan2019'],,False,False,,1
waha1238-1-7-1,,waha1238-1,7,tuʄək,tuʄək,[],,['chan2019'],,False,False,,1
waha1238-1-8-1,,waha1238-1,8,ayɨ,ayɨ,[],,['chan2019'],,False,False,,1
waha1238-1-9-1,,waha1238-1,9,piʔən,piʔən,[],,['chan2019'],,False,False,,1
waha1238-1-10-1,,waha1238-1,10,(ʄɨ)ʄap,(ʄɨ)ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-11-1,,waha1238-1,11,ʄap ʄo,ʄap ʄo,[],,['chan2019'],,False,False,,1
waha1238-1-12-1,,waha1238-1,12,ʄap luɨ,ʄap luɨ,[],,['chan2019'],,False,False,,1
waha1238-1-13-1,,waha1238-1,13,ʄap təlu,ʄap təlu,[],,['chan2019'],,False,False,,1
waha1238-1-14-1,,waha1238-1,14,ʄap pat,ʄap pat,[],,['chan2019'],,False,False,,1
waha1238-1-15-1,,waha1238-1,15,ʄap ləmɨ,ʄap ləmɨ,[],,['chan2019'],,False,False,,1
waha1238-1-16-1,,waha1238-1,16,ʄap nəm,ʄap nəm,[],,['chan2019'],,False,False,,1
waha1238-1-17-1,,waha1238-1,17,ʄap tuʄək,ʄap tuʄək,[],,['chan2019'],,False,False,,1
waha1238-1-18-1,,waha1238-1,18,ʄap ayɨ,ʄap ayɨ,[],,['chan2019'],,False,False,,1
waha1238-1-19-1,,waha1238-1,19,ʄap piʔən,ʄap piʔən,[],,['chan2019'],,False,False,,1
waha1238-1-20-1,,waha1238-1,20,luɨ ʄap,luɨ ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-21-1,,waha1238-1,21,luɨ ʄap ʄo,luɨ ʄap ʄo,[],,['chan2019'],,False,False,,1
waha1238-1-22-1,,waha1238-1,22,luɨ ʄap luɨ,luɨ ʄap luɨ,[],,['chan2019'],,False,False,,1
waha1238-1-23-1,,waha1238-1,23,luɨ ʄap təlu,luɨ ʄap təlu,[],,['chan2019'],,False,False,,1
waha1238-1-24-1,,waha1238-1,24,luɨ ʄap pat,luɨ ʄap pat,[],,['chan2019'],,False,False,,1
waha1238-1-25-1,,waha1238-1,25,luɨ ʄap ləmɨ,luɨ ʄap ləmɨ,[],,['chan2019'],,False,False,,1
waha1238-1-26-1,,waha1238-1,26,luɨ ʄap nəm,luɨ ʄap nəm,[],,['chan2019'],,False,False,,1
waha1238-1-27-1,,waha1238-1,27,luɨ ʄap tuʄək,luɨ ʄap tuʄək,[],,['chan2019'],,False,False,,1
waha1238-1-28-1,,waha1238-1,28,luɨ ʄap ayɨ,luɨ ʄap ayɨ,[],,['chan2019'],,False,False,,1
waha1238-1-29-1,,waha1238-1,29,luɨ ʄap piʔən,luɨ ʄap piʔən,[],,['chan2019'],,False,False,,1
waha1238-1-30-1,,waha1238-1,30,təlu ʄap,təlu ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-40-1,,waha1238-1,40,pat ʄap,pat ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-50-1,,waha1238-1,50,ləmɨ ʄap,ləmɨ ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-60-1,,waha1238-1,60,nəm ʄap,nəm ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-70-1,,waha1238-1,70,tuʄək ʄap,tuʄək ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-80-1,,waha1238-1,80,ayɨ ʄap,ayɨ ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-90-1,,waha1238-1,90,piʔən ʄap,piʔən ʄap,[],,['chan2019'],,False,False,,1
waha1238-1-100-1,,waha1238-1,100,ato,ato,[],,['chan2019'],,False,False,,1
waha1238-1-200-1,,waha1238-1,200,luɨ ato,luɨ ato,[],,['chan2019'],,False,False,,1
waha1238-1-1000-1,,waha1238-1,1000,iɓu,iɓu,[],,['chan2019'],,False,False,,1
waha1238-1-2000-1,,waha1238-1,2000,luɨ iɓu,luɨ iɓu,[],,['chan2019'],,False,False,,1
