ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
xxxx0017-1-1-1,,xxxx0017-1,1,ji³¹,ji³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-2-1,,xxxx0017-1,2,ʔɛ²⁴,ʔɛ²⁴,[],,['chan2019'],,False,False,,1
xxxx0017-1-3-1,,xxxx0017-1,3,sɛ̃⁵⁵,sɛ̃⁵⁵,[],,['chan2019'],,False,False,,1
xxxx0017-1-4-1,,xxxx0017-1,4,sɿ³¹,sɿ³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-5-1,,xxxx0017-1,5,wu⁵³,wu⁵³,[],,['chan2019'],,False,False,,1
xxxx0017-1-6-1,,xxxx0017-1,6,lu³¹,lu³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-7-1,,xxxx0017-1,7,tɕʰi³¹,tɕʰi³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-8-1,,xxxx0017-1,8,pa³¹,pa³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-9-1,,xxxx0017-1,9,tɕiu⁵³,tɕiu⁵³,[],,['chan2019'],,False,False,,1
xxxx0017-1-10-1,,xxxx0017-1,10,ʂʅ³¹,ʂʅ³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-11-1,,xxxx0017-1,11,ʂʅ³¹ ji³¹,ʂʅ³¹ ji³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-12-1,,xxxx0017-1,12,ʂʅ³¹ ʔɛ²⁴,ʂʅ³¹ ʔɛ²⁴,[],,['chan2019'],,False,False,,1
xxxx0017-1-13-1,,xxxx0017-1,13,ʂʅ³¹ sɛ̃⁵⁵,ʂʅ³¹ sɛ̃⁵⁵,[],,['chan2019'],,False,False,,1
xxxx0017-1-14-1,,xxxx0017-1,14,ʂʅ³¹ sɿ³¹,ʂʅ³¹ sɿ³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-15-1,,xxxx0017-1,15,ʂʅ³¹ wu⁵³,ʂʅ³¹ wu⁵³,[],,['chan2019'],,False,False,,1
xxxx0017-1-16-1,,xxxx0017-1,16,ʂʅ³¹ lu³¹,ʂʅ³¹ lu³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-17-1,,xxxx0017-1,17,ʂʅ³¹ tɕʰi³¹,ʂʅ³¹ tɕʰi³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-18-1,,xxxx0017-1,18,ʂʅ³¹ pa³¹,ʂʅ³¹ pa³¹,[],,['chan2019'],,False,False,,1
xxxx0017-1-19-1,,xxxx0017-1,19,ʂʅ³¹ tɕiu⁵³,ʂʅ³¹ tɕiu⁵³,[],,['chan2019'],,False,False,,1
xxxx0017-1-20-1,,xxxx0017-1,20,ʔɛ²⁴ ʂʅ³¹,ʔɛ²⁴ ʂʅ³¹,[],,['chan2019'],,False,False,,1
