ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
yaka1272-1-1-1,,yaka1272-1,1,-mɔ̀tí,-mɔ̀tí,[],,['chan2019'],,False,False,,1
yaka1272-1-2-1,,yaka1272-1,2,-ɓáyé,-ɓáyé,[],,['chan2019'],,False,False,,1
yaka1272-1-3-1,,yaka1272-1,3,-sátò,-sátò,[],,['chan2019'],,False,False,,1
yaka1272-1-4-1,,yaka1272-1,4,bàná,bàná,[],,['chan2019'],,False,False,,1
yaka1272-1-5-1,,yaka1272-1,5,βúè,βúè,[],,['chan2019'],,False,False,,1
yaka1272-1-6-1,,yaka1272-1,6,βúè nà -mɔ̀tí,βúè nà -mɔ̀tí,[],,['chan2019'],,False,False,,1
yaka1272-1-7-1,,yaka1272-1,7,βúè nà -ɓáyé,βúè nà -ɓáyé,[],,['chan2019'],,False,False,,1
yaka1272-1-8-1,,yaka1272-1,8,βúè nà -sátò,βúè nà -sátò,[],,['chan2019'],,False,False,,1
yaka1272-1-9-1,,yaka1272-1,9,βúè nà bàná,βúè nà bàná,[],,['chan2019'],,False,False,,1
yaka1272-1-10-1,,yaka1272-1,10,ɓɔ́pɛ́,ɓɔ́pɛ́,[],,['chan2019'],,False,False,,1
yaka1272-1-11-1,,yaka1272-1,11,ɓɔ́pɛ́ nà -mɔ̀tí,ɓɔ́pɛ́ nà -mɔ̀tí,[],,['chan2019'],,False,False,,1
yaka1272-1-12-1,,yaka1272-1,12,ɓɔ́pɛ́ nà -ɓáyé,ɓɔ́pɛ́ nà -ɓáyé,[],,['chan2019'],,False,False,,1
yaka1272-1-13-1,,yaka1272-1,13,ɓɔ́pɛ́ nà -sátò,ɓɔ́pɛ́ nà -sátò,[],,['chan2019'],,False,False,,1
yaka1272-1-14-1,,yaka1272-1,14,ɓɔ́pɛ́ nà bàná,ɓɔ́pɛ́ nà bàná,[],,['chan2019'],,False,False,,1
yaka1272-1-15-1,,yaka1272-1,15,ɓɔ́pɛ́ nà βúè,ɓɔ́pɛ́ nà βúè,[],,['chan2019'],,False,False,,1
yaka1272-1-16-1,,yaka1272-1,16,ɓɔ́pɛ́ nà βúè nà -mɔ̀tí,ɓɔ́pɛ́ nà βúè nà -mɔ̀tí,[],,['chan2019'],,False,False,,1
yaka1272-1-17-1,,yaka1272-1,17,ɓɔ́pɛ́ nà βúè nà -ɓáyé,ɓɔ́pɛ́ nà βúè nà -ɓáyé,[],,['chan2019'],,False,False,,1
yaka1272-1-18-1,,yaka1272-1,18,ɓɔ́pɛ́ nà βúè nà -sátò,ɓɔ́pɛ́ nà βúè nà -sátò,[],,['chan2019'],,False,False,,1
yaka1272-1-19-1,,yaka1272-1,19,ɓɔ́pɛ́ nà βúè nà bàná,ɓɔ́pɛ́ nà βúè nà bàná,[],,['chan2019'],,False,False,,1
yaka1272-1-20-1,,yaka1272-1,20,-d͡ʒád͡ʒú,-d͡ʒád͡ʒú,[],,['chan2019'],,False,False,,1
yaka1272-1-21-1,,yaka1272-1,21,d͡ʒád͡ʒú nà -mɔ̀tí,d͡ʒád͡ʒú nà -mɔ̀tí,[],,['chan2019'],,False,False,,1
yaka1272-1-22-1,,yaka1272-1,22,d͡ʒád͡ʒú nà -ɓáyé,d͡ʒád͡ʒú nà -ɓáyé,[],,['chan2019'],,False,False,,1
yaka1272-1-23-1,,yaka1272-1,23,d͡ʒád͡ʒú nà -sátò,d͡ʒád͡ʒú nà -sátò,[],,['chan2019'],,False,False,,1
yaka1272-1-24-1,,yaka1272-1,24,d͡ʒád͡ʒú nà bàná,d͡ʒád͡ʒú nà bàná,[],,['chan2019'],,False,False,,1
yaka1272-1-25-1,,yaka1272-1,25,d͡ʒád͡ʒú nà βúè,d͡ʒád͡ʒú nà βúè,[],,['chan2019'],,False,False,,1
yaka1272-1-26-1,,yaka1272-1,26,d͡ʒád͡ʒú nà βúè nà -mɔ̀tí,d͡ʒád͡ʒú nà βúè nà -mɔ̀tí,[],,['chan2019'],,False,False,,1
yaka1272-1-27-1,,yaka1272-1,27,d͡ʒád͡ʒú nà βúè nà -ɓáyé,d͡ʒád͡ʒú nà βúè nà -ɓáyé,[],,['chan2019'],,False,False,,1
yaka1272-1-28-1,,yaka1272-1,28,d͡ʒád͡ʒú nà βúè nà -sátò,d͡ʒád͡ʒú nà βúè nà -sátò,[],,['chan2019'],,False,False,,1
