ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
yems1235-1-1-1,,yems1235-1,1,ʔɪsːɔːn11,ʔɪsːɔːn11,[],,['chan2019'],,False,False,,1
yems1235-1-1-2,,yems1235-1,1,ʔɪsa11,ʔɪsa11,[],,['chan2019'],,False,False,,1
yems1235-1-2-1,,yems1235-1,2,ˈhɛpʰ1,ˈhɛpʰ1,[],,['chan2019'],,False,False,,1
yems1235-1-2-2,,yems1235-1,2,ʔɛpʰ1,ʔɛpʰ1,[],,['chan2019'],,False,False,,1
yems1235-1-3-1,,yems1235-1,3,ˈkʰeːz2,ˈkʰeːz2,[],,['chan2019'],,False,False,,1
yems1235-1-4-1,,yems1235-1,4,ʔa11ˈt͡ʃeːt͡ʃ3,ʔa11ˈt͡ʃeːt͡ʃ3,[],,['chan2019'],,False,False,,1
yems1235-1-5-1,,yems1235-1,5,ˈʔʊːt͡ʃ3,ˈʔʊːt͡ʃ3,[],,['chan2019'],,False,False,,1
yems1235-1-6-1,,yems1235-1,6,ʔɪ1ˈsiːʊn1,ʔɪ1ˈsiːʊn1,[],,['chan2019'],,False,False,,1
yems1235-1-7-1,,yems1235-1,7,ˈnaː1fʊn1,ˈnaː1fʊn1,[],,['chan2019'],,False,False,,1
yems1235-1-8-1,,yems1235-1,8,ˈnaŋ2riːn1,ˈnaŋ2riːn1,[],,['chan2019'],,False,False,,1
yems1235-1-9-1,,yems1235-1,9,ˈʔɪz1ɡɪn1,ˈʔɪz1ɡɪn1,[],,['chan2019'],,False,False,,1
yems1235-1-10-1,,yems1235-1,10,ʔa1sɪr1,ʔa1sɪr1,[],,['chan2019'],,False,False,,1
yems1235-1-11-1,,yems1235-1,11,ʔa1s(ɪ)1ɾɛ1ɪ1sːɛ1,ʔa1s(ɪ)1ɾɛ1ɪ1sːɛ1,[],,['chan2019'],,False,False,,1
yems1235-1-12-1,,yems1235-1,12,ʔa1s(ɪ)1ɾɛ1hɛpːʰ1,ʔa1s(ɪ)1ɾɛ1hɛpːʰ1,[],,['chan2019'],,False,False,,1
yems1235-1-13-1,,yems1235-1,13,ʔa1s(ɪ)1ɾɛ1kʰeːz2,ʔa1s(ɪ)1ɾɛ1kʰeːz2,[],,['chan2019'],,False,False,,1
yems1235-1-14-1,,yems1235-1,14,ʔa1s(ɪ)1ɾɛ1ʔa11t͡ʃeːt͡ʃ3,ʔa1s(ɪ)1ɾɛ1ʔa11t͡ʃeːt͡ʃ3,[],,['chan2019'],,False,False,,1
yems1235-1-15-1,,yems1235-1,15,ʔa1s(ɪ)1ɾɛ1ʔʊːt͡ʃ3,ʔa1s(ɪ)1ɾɛ1ʔʊːt͡ʃ3,[],,['chan2019'],,False,False,,1
yems1235-1-16-1,,yems1235-1,16,ʔa1s(ɪ)1ɾɛ1 ʔɪ1siːʊn1,ʔa1s(ɪ)1ɾɛ1 ʔɪ1siːʊn1,[],,['chan2019'],,False,False,,1
